Id,SalePrice
1461,101523.25
1462,157572.28
1463,182996.27
1464,190819.42
1465,193428.84
1466,183409.1
1467,163539.72
1468,176378.6
1469,177967.28
1470,116589.33
1471,192235.56
1472,83768.945
1473,96566.99
1474,148376.0
1475,116947.086
1476,359985.6
1477,247226.0
1478,291969.0
1479,184806.44
1480,505674.56
1481,307607.66
1482,199100.31
1483,146509.95
1484,158281.31
1485,177614.67
1486,188445.75
1487,311880.44
1488,207693.47
1489,199744.28
1490,202890.75
1491,186329.19
1492,97863.38
1493,171799.69
1494,277072.94
1495,288253.84
1496,227282.52
1497,150762.25
1498,157835.75
1499,152694.8
1500,140991.66
1501,180560.94
1502,132620.45
1503,260358.53
1504,213519.8
1505,219804.64
1506,194206.44
1507,238239.34
1508,217752.31
1509,165170.23
1510,140145.98
1511,147007.47
1512,162302.4
1513,138207.69
1514,175332.98
1515,222198.23
1516,171705.72
1517,136191.08
1518,128371.555
1519,218209.86
1520,121554.09
1521,141347.81
1522,164400.08
1523,116504.77
1524,113262.836
1525,129126.08
1526,117580.44
1527,83556.98
1528,131533.98
1529,142819.89
1530,184718.58
1531,109502.24
1532,106224.12
1533,138235.77
1534,124667.07
1535,155323.67
1536,98209.695
1537,74125.78
1538,197689.69
1539,179675.9
1540,97495.766
1541,154626.55
1542,142022.98
1543,239526.52
1544,78633.82
1545,97810.14
1546,118449.91
1547,132707.75
1548,137450.03
1549,103295.555
1550,146500.66
1551,108607.414
1552,146682.27
1553,146556.81
1554,104217.8
1555,174419.86
1556,73934.34
1557,133798.27
1558,105557.664
1559,108880.5
1560,141177.34
1561,149353.19
1562,111242.81
1563,110969.56
1564,140563.61
1565,145757.06
1566,190931.78
1567,64379.777
1568,227722.12
1569,117438.39
1570,127044.516
1571,122561.766
1572,146946.88
1573,213389.16
1574,77343.58
1575,193789.36
1576,201119.64
1577,199509.17
1578,150232.61
1579,144657.88
1580,194065.55
1581,123091.56
1582,129851.984
1583,336851.22
1584,230110.47
1585,139375.6
1586,52459.613
1587,94810.74
1588,155127.77
1589,108501.12
1590,113427.984
1591,85335.22
1592,124426.32
1593,125612.68
1594,117655.25
1595,102899.54
1596,221179.89
