Id,SalePrice
1461,114484.78
1462,157894.81
1463,175385.78
1464,180472.52
1465,195914.23
1466,171035.81
1467,178752.36
1468,166128.44
1469,181250.11
1470,126439.28
1471,191294.67
1472,96183.695
1473,92594.164
1474,156449.3
1475,131076.73
1476,378577.62
1477,266989.88
1478,309168.88
1479,282068.38
1480,512553.4
1481,313916.44
1482,217375.27
1483,167041.2
1484,164988.72
1485,179112.86
1486,188918.6
1487,343214.28
1488,245842.05
1489,202405.6
1490,213069.69
1491,191831.17
1492,86535.14
1493,201090.14
1494,315578.3
1495,302340.88
1496,211497.27
1497,177929.25
1498,158611.44
1499,161170.58
1500,152314.38
1501,177958.97
1502,150936.06
1503,315053.47
1504,228528.75
1505,211350.89
1506,193170.25
1507,240758.27
1508,194333.75
1509,158440.25
1510,147078.64
1511,145217.98
1512,171326.78
1513,138373.83
1514,187227.39
1515,205354.16
1516,161679.47
1517,151739.81
1518,130511.11
1519,220326.58
1520,126495.08
1521,134884.88
1522,181451.02
1523,99340.68
1524,117085.01
1525,114456.2
1526,126739.67
1527,108102.41
1528,138805.05
1529,148375.34
1530,174571.78
1531,117125.49
1532,114687.14
1533,156197.56
1534,126058.28
1535,157003.5
1536,94904.95
1537,71936.766
1538,165176.42
1539,210896.66
1540,106801.97
1541,157948.77
1542,133108.72
1543,215000.66
1544,90700.516
1545,117901.234
1546,134279.14
1547,142758.33
1548,138555.66
1549,112323.02
1550,127277.37
1551,123589.29
1552,153584.86
1553,163966.7
1554,116289.32
1555,171902.27
1556,80019.42
1557,108804.84
1558,92052.016
1559,106965.54
1560,130988.33
1561,134358.45
1562,125844.82
1563,114559.305
1564,160999.73
1565,145604.34
1566,229098.86
1567,68446.99
1568,207992.16
1569,126665.45
1570,124099.11
1571,127812.88
1572,145954.97
1573,253562.64
1574,110889.234
1575,218864.33
1576,219137.33
1577,202405.6
1578,154652.61
1579,150180.94
1580,194138.3
1581,142858.69
1582,128749.15
1583,344797.7
1584,225270.55
1585,143997.45
1586,89323.62
1587,90118.7
1588,142446.53
1589,108925.74
1590,132905.28
1591,94959.664
1592,107543.48
1593,139103.45
1594,160281.86
1595,100912.36
1596,209934.81
1597,168158.2
1598,206779.48
1599,188899.8
1600,191113.58
1601,83028.984
1602,122850.484
1603,98095.055
1604,254466.64
1605,248521.38
1606,165522.17
1607,173883.95
1608,222405.72
1609,198220.73
1610,150547.3
1611,134896.72
1612,157053.75
1613,148440.62
1614,120868.29
1615,88599.95
1616,63569.844
1617,96957.77
1618,130744.52
1619,135108.06
1620,142948.72
1621,135702.89
1622,133506.23
1623,274970.7
1624,201631.42
1625,125360.85
1626,169332.06
1627,172131.17
1628,280319.7
1629,185329.33
1630,399945.1
1631,224831.88
1632,246165.42
1633,163631.28
1634,177391.97
1635,174059.25
1636,159094.03
1637,198037.11
1638,219377.78
1639,178115.72
1640,242756.05
1641,184751.86
1642,214694.05
1643,220832.73
1644,208344.11
1645,199346.16
1646,151797.95
1647,173470.47
1648,128219.5
1649,134077.45
1650,126696.91
1651,130422.234
1652,101145.85
1653,101052.7
1654,148390.08
1655,157228.39
1656,150031.94
1657,148390.08
1658,147627.12
1659,134118.64
1660,150899.66
1661,490481.2
1662,414998.0
1663,416771.6
1664,285934.38
1665,324465.97
1666,318342.5
1667,374081.2
1668,344814.94
1669,298041.0
1670,354839.22
1671,258528.95
1672,482430.78
1673,305033.84
1674,250808.38
1675,177038.66
1676,176963.22
1677,201290.81
1678,494736.6
1679,373701.84
1680,319907.1
1681,276980.12
1682,296527.7
1683,165231.77
1684,186616.98
1685,166565.86
1686,173025.08
1687,162849.81
1688,183266.98
1689,185320.73
1690,195600.27
1691,180490.08
1692,284194.03
